age,income,employment_duration_years,existing_loan_balance,credit_inquiries_last_6m,num_credit_cards,employment_type,marital_status,property_area,payment_status_code,high_risk_flag,approved
22,55199.01,9,36652.63,5,3,Salaried,Single,Rural,C0,0,0
59,68498.11,12,39277.97,2,3,Self-employed,Single,Rural,C2,0,1
52,44585.62,27,11132.46,4,3,Salaried,Divorced,Semiurban,C5,1,1
41,36329.2,11,4546.71,7,3,Self-employed,Married,Semiurban,C0,0,0
40,41494.47,18,0.0,3,6,Salaried,Single,Semiurban,C2,0,1
63,49129.67,4,25677.5,7,1,Self-employed,Single,Urban,C1,0,0
22,35913.16,28,0.0,3,3,Unemployed,Divorced,Rural,C0,0,1
54,69051.49,18,8463.96,6,4,Salaried,Married,Semiurban,C0,0,0
28,83242.89,23,13437.66,5,1,Salaried,Single,Semiurban,C2,0,1
22,25322.54,18,4957.96,4,1,Salaried,Single,Rural,C0,0,1
45,65628.22,11,15917.48,1,0,Salaried,Single,Urban,C0,0,1
69,59501.61,10,47903.19,6,2,Salaried,Single,Rural,C3,1,0
56,73537.72,21,10297.62,11,1,Unemployed,Single,Rural,C1,0,1
58,64676.53,26,5904.32,7,1,Salaried,Single,Urban,C2,0,0
56,28660.02,3,26214.65,8,1,Salaried,Single,Urban,C1,0,0
59,33440.27,26,15354.17,9,4,Salaried,Single,Semiurban,C1,0,1
45,65735.59,25,32150.7,0,5,Salaried,Married,Urban,C2,0,1
24,90719.52,3,14305.63,9,3,Unemployed,Married,Rural,C0,0,0
62,12000.0,3,8522.08,2,0,Salaried,Married,Urban,C0,0,1
41,73643.16,21,0.0,7,5,Salaried,Single,Urban,C1,0,1
44,94740.55,26,0.0,11,1,Salaried,Married,Urban,C4,1,1
37,61174.35,12,0.0,10,0,Student,Divorced,Rural,C0,0,1
27,78755.06,19,17310.75,4,3,Unemployed,Divorced,Semiurban,C5,1,0
67,47423.27,30,0.0,10,2,Salaried,Single,Rural,C2,0,1
59,62015.85,10,29578.08,7,2,Self-employed,Single,Rural,C1,0,0
52,24477.16,6,12423.45,1,6,Self-employed,Married,Semiurban,C1,0,1
39,12000.0,30,8581.38,2,0,Self-employed,Single,Urban,C0,0,1
61,88569.15,8,186.03,11,0,Salaried,Single,Urban,C1,0,0
46,40375.13,14,20711.62,10,4,Self-employed,Single,Rural,C0,0,0
41,53611.8,13,737.03,10,2,Self-employed,Married,Urban,C1,0,0
41,30338.94,16,0.0,4,5,Salaried,Married,Rural,C0,0,1
30,29750.76,8,28636.9,3,0,Salaried,Single,Rural,C4,1,0
22,60654.06,21,16964.7,9,2,Salaried,Divorced,Semiurban,C0,0,0
47,46760.57,21,8710.99,0,1,Salaried,Married,Semiurban,C1,0,1
65,74449.27,6,20980.06,10,0,Salaried,Single,Rural,C0,0,0
21,76313.46,14,12125.05,7,3,Unemployed,Single,Rural,C0,0,0
63,73021.24,1,17362.18,7,5,Unemployed,Single,Semiurban,C0,0,0
61,70965.02,6,564.13,5,1,Salaried,Divorced,Semiurban,C2,0,0
32,104444.21,30,40985.58,11,5,Salaried,Married,Semiurban,C1,0,1
51,38310.16,15,3885.32,8,3,Self-employed,Married,Urban,C1,0,1
26,63626.63,19,33784.23,0,3,Salaried,Married,Rural,C3,1,1
58,93317.25,27,9355.84,6,6,Salaried,Single,Semiurban,C0,0,1
55,96613.5,22,23299.36,10,2,Unemployed,Divorced,Rural,C3,1,0
36,29455.91,24,22279.13,0,1,Salaried,Divorced,Urban,C0,0,1
21,57191.11,22,28055.92,8,5,Salaried,Married,Rural,C3,1,0
69,98953.03,15,231.27,2,0,Self-employed,Married,Semiurban,C4,1,1
41,77701.98,19,27058.9,6,6,Self-employed,Single,Semiurban,C3,1,0
65,69881.58,8,37850.16,10,5,Salaried,Single,Urban,C0,0,0
53,59557.88,27,8378.3,5,6,Self-employed,Single,Rural,C1,0,1
59,55404.98,5,12485.88,0,3,Unemployed,Married,Semiurban,C3,1,0
58,72205.48,27,4671.75,0,4,Salaried,Married,Semiurban,C1,0,1
28,58690.65,27,7149.89,8,6,Self-employed,Divorced,Urban,C0,0,1
37,63935.53,4,35959.92,11,0,Salaried,Single,Urban,C1,0,0
42,66964.97,22,0.0,3,2,Salaried,Single,Urban,C0,0,1
44,48048.21,30,0.0,11,3,Salaried,Single,Urban,C1,0,1
20,78303.23,17,34552.61,5,4,Salaried,Divorced,Semiurban,C0,0,0
46,137856.12,10,20743.68,0,4,Salaried,Married,Semiurban,C1,0,1
26,20575.33,27,41685.18,6,6,Unemployed,Married,Semiurban,C0,0,1
57,73100.31,15,5693.86,11,3,Salaried,Married,Semiurban,C0,0,0
54,45995.25,3,13767.94,3,1,Unemployed,Married,Semiurban,C0,0,1
66,79435.06,7,2750.52,11,1,Salaried,Single,Urban,C4,1,0
57,66163.94,21,14006.22,7,5,Unemployed,Single,Rural,C1,0,1
37,84046.37,14,0.0,4,3,Salaried,Single,Semiurban,C1,0,1
69,94387.66,6,21589.36,8,4,Salaried,Single,Semiurban,C2,0,0
39,69810.53,24,16528.64,4,3,Self-employed,Married,Rural,C1,0,1
35,93301.31,3,11194.23,1,5,Self-employed,Single,Rural,C1,0,1
65,12000.0,6,6534.9,10,1,Salaried,Married,Semiurban,C1,0,0
37,104761.31,14,0.0,4,1,Salaried,Married,Semiurban,C0,0,1
22,74376.55,1,22187.98,6,5,Self-employed,Married,Rural,C1,0,0
42,91946.08,12,0.0,8,3,Self-employed,Divorced,Rural,C0,0,1
60,34503.11,28,19166.54,0,5,Salaried,Single,Urban,C4,1,1
28,44230.75,29,41042.32,8,0,Self-employed,Married,Semiurban,C1,0,1
42,68648.46,27,32797.3,4,1,Salaried,Single,Rural,C0,0,1
24,64574.05,10,0.0,6,6,Salaried,Married,Rural,C1,0,0
54,72076.71,2,4485.67,5,5,Self-employed,Married,Urban,C0,0,1
43,92112.88,25,17900.31,9,0,Student,Single,Semiurban,C1,0,1
35,20869.49,11,11016.05,2,5,Salaried,Single,Semiurban,C3,1,0
30,89345.48,23,0.0,1,0,Salaried,Married,Urban,C2,0,1
47,65207.05,3,17394.42,4,0,Salaried,Married,Semiurban,C2,0,0
53,59905.45,20,11859.76,1,6,Self-employed,Married,Semiurban,C1,0,1
67,28222.12,18,38800.56,2,0,Salaried,Single,Urban,C1,0,0
41,77576.22,28,8454.8,7,2,Salaried,Married,Urban,C0,0,1
26,12000.0,3,28352.05,9,0,Salaried,Married,Rural,C1,0,0
62,81209.85,12,0.0,8,4,Unemployed,Single,Rural,C1,0,1
51,27697.35,30,0.0,3,0,Salaried,Married,Rural,C0,0,1
55,66336.45,12,22103.27,9,2,Self-employed,Married,Rural,C0,0,0
23,62020.78,20,27172.23,4,2,Salaried,Married,Rural,C0,0,0
34,94238.45,4,0.0,2,4,Salaried,Single,Semiurban,C0,0,0
58,60533.62,22,12337.08,9,3,Salaried,Single,Urban,C0,0,1
62,47646.54,8,0.0,6,1,Salaried,Divorced,Rural,C1,0,1
41,52334.93,17,9462.92,4,3,Salaried,Married,Semiurban,C1,0,1
60,96822.07,27,23716.92,7,3,Salaried,Single,Urban,C1,0,1
62,78407.42,20,5910.58,8,2,Salaried,Divorced,Rural,C0,0,1
38,55359.25,14,8513.51,2,3,Salaried,Single,Urban,C1,0,1
65,59088.84,5,0.0,1,2,Salaried,Married,Rural,C3,1,1
33,25820.57,10,2922.98,6,2,Salaried,Single,Semiurban,C0,0,0
30,74711.86,26,36613.55,0,5,Salaried,Single,Urban,C0,0,1
54,21004.61,6,13020.95,7,1,Salaried,Divorced,Rural,C1,0,0
51,83794.91,20,0.0,5,2,Self-employed,Single,Rural,C0,0,1
25,68215.54,15,7593.19,2,0,Unemployed,Married,Semiurban,C0,0,1
62,124673.79,9,0.0,7,4,Self-employed,Married,Semiurban,C1,0,1
28,37496.61,22,0.0,4,4,Salaried,Single,Urban,C0,0,1
60,62433.45,11,31044.76,4,4,Student,Divorced,Urban,C3,1,0
18,109957.19,8,10005.25,2,1,Student,Married,Urban,C3,1,1
60,94784.74,16,38470.22,8,3,Salaried,Married,Urban,C1,0,0
59,47594.7,23,10665.13,10,2,Salaried,Married,Urban,C1,0,1
59,70599.19,26,11496.3,7,5,Self-employed,Single,Semiurban,C4,1,1
53,65049.98,19,20972.52,2,2,Student,Single,Urban,C1,0,1
42,72048.9,20,0.0,10,2,Self-employed,Single,Semiurban,C5,1,1
55,47532.99,24,14869.15,1,3,Self-employed,Married,Urban,C2,0,1
